segment_name,customer_count,avg_recency,avg_frequency,avg_monetary,revenue_share,description,recommendation
Champions,1462,20.4,15.6,8058.32,68.97,"This segment comprises the most valuable customers who buy frequently and recently, spend the most, and are the primary drivers of nearly 70% of the company's total revenue.","Implement an exclusive VIP loyalty program offering personalized product recommendations, early access to new collections, and dedicated customer support to reinforce their value and encourage continued high-value purchases."
Loyal Customers,516,103.3,8.5,3280.76,9.91,"Loyal Customers are a highly valuable segment, characterized by frequent purchases and significant spending, contributing nearly 10% of total revenue.","Cultivate these high-value customers with exclusive benefits such as early access to new products or services, personalized offers, and premium loyalty program tiers to deepen their engagement and lifetime value."
Cant Lose Them,238,344.7,8.9,3943.08,5.49,"This segment comprises historically high-value and frequent customers who have become inactive, making them critical to re-engage despite their recent lack of purchases.","Launch an exclusive, highly personalized win-back campaign with significant incentives or VIP access, emphasizing their past loyalty and tailored to their previous purchase preferences, to prevent churn and reactivate their spending."
Potential Loyalists,711,26.3,2.6,1091.82,4.54,"These customers have made recent, high-value purchases multiple times and show strong potential to become highly loyal.","Implement a targeted loyalty program offering exclusive benefits, such as early access to new products or personalized high-value offers, to encourage more frequent purchases and solidify their loyalty."
Promising,655,109.8,2.1,832.07,3.19,"This segment consists of customers who have made a significant, recent purchase but infrequently, indicating high potential for future engagement.",Implement targeted re-engagement campaigns with personalized product recommendations or exclusive offers based on their high-value past purchases to encourage a second or third transaction and increase their purchase frequency.
Needs Attention,600,310.0,2.3,883.37,3.1,"This segment consists of customers who made valuable purchases in the past but have not engaged with the brand for a long time, indicating a high risk of churn despite their historical spend.","Launch a targeted re-engagement campaign offering a personalized incentive (e.g., a time-limited discount on products related to their past high-value purchases) to reactivate them before they are lost completely."
At Risk,307,445.7,3.8,911.03,1.64,"This segment consists of customers who historically spent a significant amount per order but have not made a purchase in a very long time, indicating a high risk of churn despite their past value.","Launch a targeted win-back campaign with a personalized, time-sensitive incentive (e.g., a special discount or exclusive offer) to encourage a repeat purchase and prevent further disengagement, potentially highlighting new products or services related to their past buying habits."
Lost,761,560.1,1.1,242.57,1.08,"This segment consists of customers who made very few purchases over a year and a half ago, indicating high churn and minimal current contribution to revenue.","Launch a targeted win-back campaign with a substantial, time-sensitive incentive (e.g., 25% off) to encourage a repurchase from this highly inactive group. Concurrently, send a survey to a subset to understand their reasons for inactivity and gather insights for future retention efforts."
Hibernating,130,521.2,1.6,1339.52,1.02,"This segment comprises customers who made high-value purchases in the past but have been inactive for a very long time, rarely ordering.","Initiate a personalized win-back campaign with a compelling, high-value offer or a survey to understand reasons for inactivity, aiming to re-engage their past spending potential."
About To Sleep,306,318.9,1.0,367.92,0.66,"This segment comprises customers who made a single, relatively high-value purchase a long time ago and have not returned, indicating they are on the verge of becoming dormant.","Initiate a targeted win-back campaign offering a compelling, time-sensitive incentive or personalized product recommendations to encourage a second purchase and reactivate these high-potential but inactive customers."
New Customers,167,29.9,1.0,400.91,0.39,"This segment consists of very recent customers who have just made their first purchase, demonstrating a relatively high initial monetary value.","Initiate a personalized onboarding email series for these high-value new customers, offering an exclusive incentive for their second purchase within the first 60 days to encourage retention and build loyalty."
